t	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6
1	0.979217292	-0.158050055	0.334305482	-0.45378031	1.180696936	0.597282697	0.204540674	-1.131116911	-0.181557336	-0.090701452	0.428303925	-1.025025079
2	0.975254598	-0.239727677	0.022623411	-0.534722938	0.800753543	0.291646511	0.111776972	-1.023622194	-0.213196457	-0.951058265	0.665432505	-1.176617541
3	0.892818966	-0.379659338	1.123451106	-0.466481653	0.669658961	0.227786418	0.560835476	-0.986822803	-0.501668383	-0.146567003	-0.190624693	-0.344178399
4	0.596359551	-0.31072373	0.579314345	-0.808058624	1.159747997	0.313998918	0.076075019	-1.33161612	-0.608052573	-0.731884842	0.246847073	-1.066600446
5	0.807141909	-0.483904289	0.449489438	-0.585198822	0.68114582	0.433551877	-0.08125954	-0.98611417	-0.085755733	-0.67083164	0.698643468	-0.990775484
6	0.850572191	-0.316549992	-0.0355032	0.36078923	0.083472427	0.141900729	0.259784583	-1.396456562	-0.376216442	-0.44914634	0.156479732	-0.815011031
7	0.751610089	-0.336051698	-0.612765956	0.042399496	0.157529802	0.314104378	0.22080584	-1.338199015	-0.332052611	-0.399135876	-0.157121919	0.320813593
8	0.482154122	-0.331571294	-0.235799126	-0.422587637	1.202462661	0.553544409	0.227521641	-1.604971217	-0.272621102	-0.57069656	0.861482577	-1.029910965
9	0.855653275	-0.102633991	-0.735444685	0.661619858	0.312794757	0.333205805	-0.087502408	-0.571912165	-0.344264544	-0.869456325	0.334831563	-0.977396674
10	0.433947936	-0.340514298	-0.364671435	0.194511181	0.113832185	0.230848698	-0.057738854	-0.5693449	-0.672369182	-0.687264991	0.517524992	-0.918401766
11	0.662314378	0.011067676	-1.657712908	0.256151969	-0.28101687	0.791364992	-0.330268993	-1.2478766	-0.859888915	-1.225559919	0.463243657	-1.17352223
12	0.51886262	-0.045633269	-0.753621983	0.193145384	-0.135868057	1.286267988	-0.248881599	-1.305537435	0.361236744	-1.953476774	0.266088058	-0.842625806
13	0.244582471	-0.206033141	-1.126691767	0.081196094	-0.361438888	0.972913109	-0.297146918	-0.702948858	-0.933734982	-1.096301144	0.293575388	-0.932284404
14	0.736161292	-0.061592318	-1.706612582	0.210198397	0.104122409	0.436122786	-0.08154018	-0.648724204	-0.849839306	-1.586299393	-0.057532054	0.136869217
